year,cases,deaths,prevalent_cases,incidence_rate,death_rate,data_source,notes
2005,5621,NA,NA,NA,NA,China Public Health Science Data Center,Start year
2006,7709,NA,NA,NA,NA,China Public Health Science Data Center,
2007,10581,NA,NA,NA,NA,China Public Health Science Data Center,
2008,14885,NA,NA,NA,NA,China Public Health Science Data Center,
2009,18968,NA,NA,NA,NA,China Public Health Science Data Center,
2010,25939,NA,NA,NA,NA,China Public Health Science Data Center,
2011,34519,NA,NA,NA,NA,China Public Health Science Data Center,Joinpoint inflection point
2012,39183,NA,NA,NA,NA,China Public Health Science Data Center,
2013,42286,NA,NA,NA,NA,China Public Health Science Data Center,
2014,45145,NA,NA,NA,NA,China Public Health Science Data Center,
2015,50330,NA,NA,NA,NA,China Public Health Science Data Center,
2016,54360,NA,NA,NA,NA,China Public Health Science Data Center,
2017,57194,NA,NA,NA,NA,China Public Health Science Data Center,
2018,64170,NA,NA,NA,NA,China Public Health Science Data Center,
2019,71204,NA,NA,NA,NA,China Public Health Science Data Center,Peak year
2020,62167,18819,1053000,4.40,1.33,National Disease Control Bureau - Notifiable Disease Report,COVID-19 impact
2021,60154,19623,1148000,4.27,1.39,National Disease Control Bureau - Notifiable Disease Report,Validation data
2022,52058,18885,1223000,3.69,1.34,National Disease Control Bureau - Notifiable Disease Report,Significant COVID-19 impact
2023,58903,22137,1289700,4.18,1.57,National Disease Control Bureau - Notifiable Disease Report,Epidemic rebound
2024,101626,31541,1355000,NA,NA,China CDC,Newly reported HIV/AIDS cases
