year,age_group,cases,deaths
2005,0-,6,4
2005,1-,5,2
2005,2-,9,0
2005,3-,14,2
2005,4-,13,5
2005,5-,11,0
2005,6-,7,3
2005,7-,11,1
2005,8-,13,1
2005,9-,10,2
2005,10-,85,15
2005,15-,67,13
2005,20-,233,32
2005,25-,775,165
2005,30-,1163,256
2005,35-,1142,262
2005,40-,799,224
2005,45-,379,100
2005,50-,401,112
2005,55-,204,58
2005,60-,140,31
2005,65-,71,13
2005,70-,38,12
2005,75-,18,3
2005,80-,5,0
2005,85+,2,0
2005,Unknown,0,0
2006,0-,4,1
2006,1-,3,1
2006,2-,12,2
2006,3-,10,2
2006,4-,12,2
2006,5-,8,3
2006,6-,15,3
2006,7-,11,4
2006,8-,10,0
2006,9-,9,1
2006,10-,80,13
2006,15-,56,4
2006,20-,301,35
2006,25-,851,137
2006,30-,1348,245
2006,35-,1302,277
2006,40-,1063,236
2006,45-,468,104
2006,50-,466,113
2006,55-,293,64
2006,60-,142,30
2006,65-,109,30
2006,70-,59,14
2006,75-,28,8
2006,80-,7,2
2006,85+,4,0
2006,Unknown,0,0
2007,0-,3,2
2007,1-,6,2
2007,2-,30,8
2007,3-,16,7
2007,4-,24,13
2007,5-,19,2
2007,6-,16,7
2007,7-,16,7
2007,8-,6,5
2007,9-,10,6
2007,10-,94,31
2007,15-,110,33
2007,20-,532,146
2007,25-,1352,367
2007,30-,1830,593
2007,35-,1854,724
2007,40-,1319,574
2007,45-,687,330
2007,50-,586,295
2007,55-,447,200
2007,60-,366,143
2007,65-,194,65
2007,70-,133,58
2007,75-,47,25
2007,80-,13,5
2007,85+,2,1
2007,Unknown,15,255
2008,0-,2,1
2008,1-,6,2
2008,2-,24,13
2008,3-,23,10
2008,4-,27,7
2008,5-,17,8
2008,6-,11,6
2008,7-,11,5
2008,8-,13,2
2008,9-,3,2
2008,10-,80,36
2008,15-,80,44
2008,20-,473,230
2008,25-,1188,505
2008,30-,1776,897
2008,35-,1809,989
2008,40-,1455,822
2008,45-,870,463
2008,50-,688,405
2008,55-,569,273
2008,60-,389,208
2008,65-,285,132
2008,70-,174,79
2008,75-,64,37
2008,80-,18,10
2008,85+,4,4
2008,Unknown,0,199
2009,0-,1,0
2009,1-,8,5
2009,2-,31,18
2009,3-,28,14
2009,4-,20,12
2009,5-,24,6
2009,6-,18,10
2009,7-,12,7
2009,8-,10,4
2009,9-,7,6
2009,10-,59,27
2009,15-,105,44
2009,20-,589,249
2009,25-,1361,635
2009,30-,2075,1016
2009,35-,2330,1189
2009,40-,1946,917
2009,45-,1284,577
2009,50-,921,492
2009,55-,852,389
2009,60-,650,294
2009,65-,407,204
2009,70-,323,176
2009,75-,164,84
2009,80-,44,31
2009,85+,12,9
2009,Unknown,0,181
2010,0-,5,3
2010,1-,11,11
2010,2-,21,13
2010,3-,17,13
2010,4-,12,11
2010,5-,19,8
2010,6-,23,8
2010,7-,10,7
2010,8-,6,7
2010,9-,13,5
2010,10-,37,28
2010,15-,156,71
2010,20-,888,351
2010,25-,1796,833
2010,30-,2213,1225
2010,35-,2546,1244
2010,40-,2205,1017
2010,45-,1657,675
2010,50-,1136,556
2010,55-,1147,501
2010,60-,792,354
2010,65-,605,288
2010,70-,399,220
2010,75-,199,126
2010,80-,59,35
2010,85+,10,3
2010,Unknown,0,130
2011,0-,1,1
2011,1-,14,11
2011,2-,15,11
2011,3-,21,13
2011,4-,20,8
2011,5-,19,9
2011,6-,19,5
2011,7-,14,3
2011,8-,17,7
2011,9-,11,4
2011,10-,38,18
2011,15-,225,73
2011,20-,1143,463
2011,25-,2048,983
2011,30-,2595,1300
2011,35-,3120,1410
2011,40-,2799,1171
2011,45-,2253,867
2011,50-,1382,643
2011,55-,1553,622
2011,60-,1202,511
2011,65-,820,417
2011,70-,658,294
2011,75-,334,193
2011,80-,111,54
2011,85+,18,14
2011,Unknown,0,119
2012,0-,4,1
2012,1-,61,7
2012,2-,68,14
2012,3-,55,15
2012,4-,32,14
2012,5-,34,7
2012,6-,35,9
2012,7-,39,8
2012,8-,22,7
2012,9-,24,10
2012,10-,72,26
2012,15-,628,103
2012,20-,3211,533
2012,25-,5431,1134
2012,30-,5982,1489
2012,35-,6059,1650
2012,40-,5188,1404
2012,45-,4072,1127
2012,50-,2469,765
2012,55-,2730,843
2012,60-,2260,742
2012,65-,1586,590
2012,70-,1084,542
2012,75-,557,289
2012,80-,170,103
2012,85+,39,21
2012,Unknown,17,122
2013,0-,3,2
2013,1-,43,6
2013,2-,39,4
2013,3-,31,8
2013,4-,31,8
2013,5-,32,12
2013,6-,22,6
2013,7-,29,7
2013,8-,29,8
2013,9-,21,4
