Province,Cumulative_cases,Cumulative_deaths,Population_10k,Cumulative_incidence_per_100k,AAPC_pct,CV,Mean_annual_cases,Case_fatality_rate_pct,Cluster,Cluster_name
Sichuan Province,97093,24243,8367,116.04,40.61,95.42,6068.3,24.97,1,High-prevalence rapid-growth
Guangxi Zhuang Autonomous Region,80098,32384,5013,159.78,12.14,45.76,5006.1,40.43,2,High-prevalence stable
Yunnan Province,63663,22094,4721,134.85,17.38,55.96,3978.9,34.7,2,High-prevalence stable
Guangdong Province,41482,9991,12601,32.92,18.21,61.45,2592.6,24.09,4,Moderate-prevalence moderate-growth
Henan Province,40701,20701,9937,40.96,3.68,23.14,2543.8,50.86,3,Special stable
Chongqing Municipality,27469,7187,3205,85.71,37.69,84.73,1716.8,26.16,1,High-prevalence rapid-growth
Hunan Province,27236,9018,6644,40.99,21.99,68.42,1702.2,33.11,4,Moderate-prevalence moderate-growth
Guizhou Province,26398,8048,3856,68.46,41.09,96.82,1649.9,30.49,1,High-prevalence rapid-growth
Xinjiang Uyghur Autonomous Region,20460,7547,2585,79.15,21.55,69.66,1278.8,36.89,4,Moderate-prevalence moderate-growth
Zhejiang Province,15990,2362,6457,24.76,28.92,74.63,999.4,14.77,5,Low-prevalence rapid-growth
Jiangsu Province,13890,2433,8475,16.39,25.36,73.19,868.1,17.52,5,Low-prevalence rapid-growth
Hubei Province,13284,4269,5775,23.0,16.61,62.11,830.2,32.14,4,Moderate-prevalence moderate-growth
Jiangxi Province,12257,3647,4519,27.12,28.4,84.9,766.1,29.75,5,Low-prevalence rapid-growth
Anhui Province,11488,2950,6103,18.82,17.05,62.64,718.0,25.68,4,Moderate-prevalence moderate-growth
Liaoning Province,8560,1433,4259,20.1,34.07,87.6,535.0,16.74,5,Low-prevalence rapid-growth
Fujian Province,8461,1636,4154,20.37,24.79,77.58,528.8,19.34,5,Low-prevalence rapid-growth
Shaanxi Province,7341,1407,3953,18.57,31.48,86.75,458.8,19.17,5,Low-prevalence rapid-growth
Beijing Municipality,6874,494,2189,31.4,22.0,72.65,429.6,7.19,4,Moderate-prevalence moderate-growth
Hebei Province,6818,1320,7461,9.14,25.71,85.8,426.1,19.36,5,Low-prevalence rapid-growth
Shandong Province,6818,1222,10153,6.72,29.11,90.55,426.1,17.92,5,Low-prevalence rapid-growth
Shanghai Municipality,5776,534,2487,23.22,18.44,57.91,361.0,9.25,4,Moderate-prevalence moderate-growth
Heilongjiang Province,5330,1069,3185,16.73,27.99,79.61,333.1,20.06,5,Low-prevalence rapid-growth
Shanxi Province,5297,1267,3492,15.17,15.93,63.47,331.1,23.92,4,Moderate-prevalence moderate-growth
Jilin Province,4891,1248,2407,20.32,28.03,77.03,305.7,25.52,5,Low-prevalence rapid-growth
Gansu Province,3745,798,2502,14.97,33.47,96.56,234.1,21.31,5,Low-prevalence rapid-growth
Tianjin Municipality,2514,391,1387,18.13,24.33,70.89,157.1,15.55,5,Low-prevalence rapid-growth
Inner Mongolia Autonomous Region,2320,397,2405,9.65,33.68,93.73,145.0,17.11,5,Low-prevalence rapid-growth
Hainan Province,1754,626,1008,17.4,25.68,73.43,109.6,35.69,5,Low-prevalence rapid-growth
Qinghai Province,1396,278,592,23.58,30.18,85.31,87.2,19.91,5,Low-prevalence rapid-growth
Ningxia Hui Autonomous Region,856,199,720,11.89,31.9,88.33,53.5,23.25,5,Low-prevalence rapid-growth
Tibet Autonomous Region,316,47,365,8.66,28.5,93.9,19.8,14.87,5,Low-prevalence rapid-growth
