Province,Cumulative_cases,Cumulative_incidence_per_100k,AAPC_pct,Cluster,Cluster_name
Sichuan Province,97093,116.04,40.61,1,High-prevalence rapid-growth
Guangxi Zhuang Autonomous Region,80098,159.78,12.14,2,High-prevalence stable
Yunnan Province,63663,134.85,17.38,2,High-prevalence stable
Guangdong Province,41482,32.92,18.21,4,Moderate-prevalence moderate-growth
Henan Province,40701,40.96,3.68,3,Special stable
Chongqing Municipality,27469,85.71,37.69,1,High-prevalence rapid-growth
Hunan Province,27236,40.99,21.99,4,Moderate-prevalence moderate-growth
Guizhou Province,26398,68.46,41.09,1,High-prevalence rapid-growth
Xinjiang Uyghur Autonomous Region,20460,79.15,21.55,4,Moderate-prevalence moderate-growth
Zhejiang Province,15990,24.76,28.92,5,Low-prevalence rapid-growth
Jiangsu Province,13890,16.39,25.36,5,Low-prevalence rapid-growth
Hubei Province,13284,23.0,16.61,4,Moderate-prevalence moderate-growth
Jiangxi Province,12257,27.12,28.4,5,Low-prevalence rapid-growth
Anhui Province,11488,18.82,17.05,4,Moderate-prevalence moderate-growth
Liaoning Province,8560,20.1,34.07,5,Low-prevalence rapid-growth
Fujian Province,8461,20.37,24.79,5,Low-prevalence rapid-growth
Shaanxi Province,7341,18.57,31.48,5,Low-prevalence rapid-growth
Beijing Municipality,6874,31.4,22.0,4,Moderate-prevalence moderate-growth
Hebei Province,6818,9.14,25.71,5,Low-prevalence rapid-growth
Shandong Province,6818,6.72,29.11,5,Low-prevalence rapid-growth
Shanghai Municipality,5776,23.22,18.44,4,Moderate-prevalence moderate-growth
Heilongjiang Province,5330,16.73,27.99,5,Low-prevalence rapid-growth
Shanxi Province,5297,15.17,15.93,4,Moderate-prevalence moderate-growth
Jilin Province,4891,20.32,28.03,5,Low-prevalence rapid-growth
Gansu Province,3745,14.97,33.47,5,Low-prevalence rapid-growth
Tianjin Municipality,2514,18.13,24.33,5,Low-prevalence rapid-growth
Inner Mongolia Autonomous Region,2320,9.65,33.68,5,Low-prevalence rapid-growth
Hainan Province,1754,17.4,25.68,5,Low-prevalence rapid-growth
Qinghai Province,1396,23.58,30.18,5,Low-prevalence rapid-growth
Ningxia Hui Autonomous Region,856,11.89,31.9,5,Low-prevalence rapid-growth
Tibet Autonomous Region,316,8.66,28.5,5,Low-prevalence rapid-growth
