year,cases,deaths,population,incidence_rate_per_100k,mortality_rate_per_100k
2005,5621,1316,1307560000,0.42988467068432806,0.10064547707179784
2006,6671,1331,1314480000,0.5075010650599476,0.1012567707382387
2007,9727,3904,1321290000,0.7361744961363517,0.2954688221359429
2008,10059,5389,1328020000,0.7574434119968073,0.4057920814445566
2009,13281,6596,1334500000,0.9952041963282129,0.4942675159235669
2010,15982,7743,1340910000,1.1918771580493843,0.577443676309372
2011,20450,9224,1347350000,1.5177941885924222,0.684603109808142
2012,41929,11575,1354040000,3.096585034415527,0.8548491920475023
2013,42286,11437,1360720000,3.107619495561173,0.8405109059909459
2014,45145,12030,1367820000,3.300507376701613,0.8795016888187043
2015,50330,12755,1374620000,3.6613755074129575,0.9278927994645793
2016,54360,14091,1382710000,3.9314100570618566,1.0190857084999747
2017,57194,15251,1390080000,4.114439456721915,1.0971311003683242
2018,64170,18780,1395380000,4.598747294643753,1.3458699422379568
2019,71204,20999,1400050000,5.085818363629871,1.4998750044641262
2020,62167,18819,1412120000,4.402387899045407,1.3326771095940855
